Day,global warming,pirates
2008-02-01,28,62
2008-02-02,18,100
2008-02-03,22,88
2008-02-04,30,58
2008-02-05,34,60
2008-02-06,35,60
2008-02-07,34,54
2008-02-08,27,61
2008-02-09,18,82
2008-02-10,27,82
2008-02-11,33,55
2008-02-12,36,54
2008-02-13,33,52
2008-02-14,31,49
2008-02-15,28,56
2008-02-16,18,77
2008-02-17,20,78
2008-02-18,25,62
2008-02-19,32,57
2008-02-20,32,53
2008-02-21,30,52
2008-02-22,26,52
2008-02-23,19,72
2008-02-24,25,75
2008-02-25,33,55
2008-02-26,34,51
2008-02-27,37,52
2008-02-28,36,52
2008-02-29,28,53
2008-03-01,18,72
2008-03-02,26,74
2008-03-03,33,49
2008-03-04,37,51
2008-03-05,37,50
2008-03-06,34,49
2008-03-07,30,52
2008-03-08,19,76
2008-03-09,26,69
2008-03-10,33,47
2008-03-11,34,46
2008-03-12,32,44
2008-03-13,33,45
2008-03-14,26,47
2008-03-15,18,69
2008-03-16,24,63
2008-03-17,31,47
2008-03-18,29,47
2008-03-19,28,48
2008-03-20,24,49
2008-03-21,19,59
2008-03-22,14,67
2008-03-23,19,67
2008-03-24,27,56
2008-03-25,29,50
2008-03-26,33,48
2008-03-27,31,43
2008-03-28,28,48
2008-03-29,22,67
2008-03-30,28,69
2008-03-31,34,51
2008-04-01,35,48
2008-04-02,35,49
2008-04-03,35,46
2008-04-04,29,57
2008-04-05,21,69
2008-04-06,25,65
2008-04-07,33,55
2008-04-08,36,47
2008-04-09,34,45
2008-04-10,35,45
2008-04-11,27,49
2008-04-12,18,67
2008-04-13,28,69
2008-04-14,34,48
2008-04-15,39,46
2008-04-16,39,46
2008-04-17,39,45
2008-04-18,30,47
2008-04-19,21,70
2008-04-20,30,67
2008-04-21,43,54
2008-04-22,47,49
2008-04-23,43,50
2008-04-24,40,47
2008-04-25,30,53
2008-04-26,22,70
2008-04-27,29,75
2008-04-28,39,51
2008-04-29,40,50
2008-04-30,37,48
